"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Subscription pause date","cb_subcst_pause_date","datetime","Subscription pause date","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription payment source id","cb_subcst_payment_source_id","string","Subscription payment source id","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription plan amount","cb_subcst_plan_amount","number","Subscription plan amount","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde","Report (1)"
"Subscription plan free quantity","cb_subcst_plan_free_quantity","number","Subscription plan free quantity","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription plan unit price","cb_subcst_plan_unit_price","number","Subscription plan unit price","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription resource version","cb_subcst_resource_version","number","Subscription resource version","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription resume date","cb_subcst_resume_date","datetime","Subscription resume date","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription start date","cb_subcst_start_date","datetime","Subscription start date","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde","Report (1)"
"Subscription started at","cb_subcst_started_at","datetime","Subscription started at","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription trial end","cb_subcst_trial_end","datetime","Subscription trial end","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription trial start","cb_subcst_trial_start","datetime","Subscription trial start","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription updated at","cb_subcst_updated_at","datetime","Subscription updated at","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Former ARR","former_arr","number","","chargebeecustomproperties","true","","false","false","false","false","false","false","Brandon Dith-Berry","Calculated property (2); Automation platform flow (1); Report (3); Sales view (2); Properties v3 card (1)"
"MRR & ARR Percent Increase","mrr___arr_percent_increase","number","","chargebeecustomproperties","false","","true","false","true","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Report (10); Sales view (2); Properties v3 card (1)"
"Net New ARR","net_new_arr","number","","chargebeecustomproperties","false","","true","false","true","false","false","false","Brandon Dith-Berry","Report (2); Sales view (2); Properties v3 card (1)"
"Net New MRR","net_new_mrr","number","","chargebeecustomproperties","false","","true","false","true","false","false","false","Brandon Dith-Berry","Report (13); Sales view (2); Properties v3 card (1)"
"Currency Code","cb_currencycode","string","Chargebee Currency Code","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Due invoices count","cb_dueinvoicescount","number","Due invoices count","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Due Since","cb_duesince","datetime","Due Since","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Next Billing Amount","cb_nextbillingamount","number","Next Billing Amount","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Next billing at","cb_nextbillingat","datetime","Next billing at","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Plan quantity","cb_planquantity","number","Plan quantity","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde","Report (1)"
"PO number","cb_ponumber","string","PO number","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Product","cb_product","string","Product","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Remaining billing cycles","cb_remainingbillingcycles","number","Remaining billing cycles","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Setup fee","cb_setupfee","number","Setup fee","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription ID","cb_subscriptionid","string","Subscription ID","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription MRR","cb_subscriptionmrr","number","Subscription MRR","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde","Automation platform flow (1); Report (2); Sales view (1)"
"Subscription status","cb_subscriptionstatus","string","Subscription status","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Total dues","cb_totaldues","number","Total dues","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Chargebee Site Name","chargebee_subscription_site","string","Chargebee site of the subscription linked with this deal","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Former MRR","former_mrr","number","","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Brandon Dith-Berry","Calculated property (1); Automation platform flow (1); Report (3); Sales view (2); Properties v3 card (1)"
"Former Plan(s)","former_plan_s_","string","","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Report (3); Sales view (2); Properties v3 card (1)"
"Hubspot contact","hubspotcontact","string","Hubspot contact","chargebeesubscriptioninfo","true","","false","false","false","false","false","false","Swapnil Shinde","Automation platform flow (2)"
"Standard Commissions","commissions__ae3","number","Calculation","commission_management","false","","true","false","true","false","false","false","Kelvin Tanjuakio","Report (1)"
"Discounts Applied","discounts_applied","string","","commission_management","true","","false","false","false","false","false","false","Kelvin Tanjuakio",""
"Onboarding Call Booked","has_the_onboarding_call_been_scheduled_","enumeration","","commission_management","true","[{""label"":""Yes"",""value"":""Yes"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""No"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Unknown user","Properties v3 card (1)"
"ACH Activated in Chargebee","have_you_collected_their_bank_details_ach_","enumeration","","commission_management","true","[{""label"":""Yes"",""value"":""Yes"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""No"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Unknown user","Automation platform flow (1); Properties v3 card (1)"
"QBO Access Obtained","qbo_access_obtained","enumeration","","commission_management","true","[{""label"":""No"",""value"":""No"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Yes"",""value"":""Yes"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Need to Enable QBO"",""value"":""Doesn't Have"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Kelvin Tanjuakio","Properties v3 card (1)"
"Did you have any accountants/bookkeepers in the past? If so, who?","did_you_have_any_accountants_bookkeepers_in_the_past__if_so__who_","string","","conversion","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Report (1); Sales view (1); Properties list card (1)"
"Industry","industry","string","","conversion","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (1); Report (1); Sales view (1); Properties list card (1)"
"Known Goals","known_goals","string","","conversion","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (2); Sales view (2); Properties v3 card (1)"
"Legal Company Name","legal_company_name","string","","conversion","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Properties list card (1)"
"Long Term Goals","long_term_goals","string","","conversion","true","","false","false","false","false","false","false","Brandon Dith-Berry","Properties list card (1)"
"Managing Inventory","managing_inventory","enumeration","","conversion","true","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Properties list card (1)"
"Number of Customers","number_of_customers","number","","conversion","true","","false","false","false","false","false","false","Brandon Dith-Berry","Properties list card (1)"
"Number of Employees","number_of_employees","number","","conversion","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Sales view (1); Properties list card (1)"
"Pain Points","pain_points","string","","conversion","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (2); Sales view (2); Properties list card (1); Properties v3 card (1)"
"Payroll Provider","payroll_provider","string","","conversion","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Automation platform flow (1); Sales view (1); Properties list card (1)"
"Regarding investments, how many rounds of funding have you raised?","regarding_investments__how_many_rounds_of_funding_have_you_raised_","string","","conversion","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Sales view (1)"
"Requires Consolidation","requires_consolidation","enumeration","","conversion","true","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Properties list card (1)"
"Short Term Goals","short_term_goals","string","","conversion","true","","false","false","false","false","false","false","Brandon Dith-Berry","Properties list card (1)"
"Taxes filed for (Year)","taxes_filed_for__year_","string","","conversion","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Sales view (1); Properties list card (1)"
"Is Closed Won","hs_is_closed_won","bool","True if the deal is in the closed won state, false otherwise","deal_activity","false","[{""label"":""True"",""value"":""true"",""displayOrder"":0},{""label"":""False"",""value"":""false"",""displayOrder"":1}]","true","true","false","false","false","true","HubSpot","Inbounddb lists (3); Automation platform flow (1); Report (38); Dataset (3); Sales view (10)"
"Last Modified Date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this deal. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (1); Automation platform flow (1); Report (4); Sales view (11)"
"Latest Approval Status","hs_latest_approval_status","string","The latest approval status. Used by HubSpot to track pipeline approval processes.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Onboarding Status","onboarding_status","enumeration","","deal_activity","true","[{""label"":""In Queue"",""value"":""In Queue"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""In Progress"",""value"":""In Progress"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Complete"",""value"":""Complete"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":"""",""value"":"""",""displayOrder"":3,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Unknown user","Sales view (2)"
"Total Referrals Associated","total_referrals_associated","number","","deal_activity","false","","true","false","true","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Report (1)"
"Closed Lost Notes","closed_lost_notes","string","Add additional notes on Closed Lost Reason.","deal_entry_requirements","true","","false","false","false","false","false","false","Unknown user","Inbounddb lists (1); Automation platform flow (1); Report (7); Sales view (2); Properties v3 card (1); Controlling pipeline stage field (2)"
